module,feature,test_case,status,notes,priority,response_time_ms,endpoint,method,status_code,timestamp
Venue,Dashboard,Get venue dashboard,PASS,,Critical,26.7,/venue/dashboard,GET,200,2026-04-26T15:45:42.279606
Venue,Dashboard,Get venue stats,PASS,,Critical,7.81,/venue/dashboard/stats,GET,200,2026-04-26T15:45:42.287435
Venue,Events,Get venue events,PASS,,High,7.84,/venue/events,GET,200,2026-04-26T15:45:42.295290
Venue,Bookings,Get venue bookings,PASS,,High,59.52,/venue/bookings,GET,200,2026-04-26T15:45:42.354826
Venue,Earnings,Get venue earnings,PASS,,High,4.97,/venue/earnings,GET,200,2026-04-26T15:45:42.359802
Venue,Settings,Get venue settings,PASS,,Medium,3.61,/venue/settings,GET,200,2026-04-26T15:45:42.363449
Venue,Subscription,Get venue subscription,PASS,,Medium,3.51,/venue/subscription,GET,200,2026-04-26T15:45:42.366966
Venue,Subscription,Get subscription plans,PASS,,Medium,3.75,/venue/subscription/plans,GET,200,2026-04-26T15:45:42.370728
Sports,Auth,Register sports facility,PASS,,Critical,1765.11,/auth/register,POST,200,2026-04-26T15:45:44.135888
Sports,Dashboard,Get sports dashboard,PASS,,Critical,14.86,/sports/dashboard,GET,200,2026-04-26T15:45:44.150771
Sports,Dashboard,Get sports stats,PASS,,Critical,6.77,/sports/dashboard/stats,GET,200,2026-04-26T15:45:44.157591
Sports,Courts,List courts,PASS,,Critical,5.63,/sports/courts,GET,200,2026-04-26T15:45:44.163273
Sports,Courts,Create court,FAIL,"Status 422: {""detail"":[{""type"":""missing"",""loc"":[""query"",""name""],""msg"":""Field required"",""input"":null,""url"":""https://errors.pydantic.dev/2.5/v/missing""},{""type"":""missing"",""loc"":[""query"",""sport_type""],""msg"":""Field r",Critical,3.67,/sports/courts,POST,422,2026-04-26T15:45:44.166964
Sports,Bookings,List sports bookings,PASS,,High,7.1,/sports/bookings,GET,200,2026-04-26T15:45:44.174077
Sports,Earnings,Get sports earnings,PASS,,High,5.13,/sports/earnings,GET,200,2026-04-26T15:45:44.179217
Sports,Subscription,Get sports subscription,PASS,,Medium,4.74,/sports/subscription,GET,200,2026-04-26T15:45:44.183963
Payments,Methods,Get payment methods,PASS,,Critical,3.53,/payments/methods,GET,200,2026-04-26T15:45:44.187503
Payments,Orders,Create order,FAIL,No events found,Critical,0,/payments/orders,POST,0,2026-04-26T15:45:44.189985
Payments,Orange Money,Initiate payment,FAIL,"Status 503: {""detail"":""Orange Money is not configured""}",Critical,2.84,/orange-money/initiate,POST,503,2026-04-26T15:45:44.192831
Payments,Monime,Initiate checkout,FAIL,"Status 422: {""detail"":[{""type"":""missing"",""loc"":[""body"",""order_id""],""msg"":""Field required"",""input"":{""amount"":50000,""currency"":""SLL"",""description"":""Test payment""},""url"":""https://errors.pydantic.dev/2.5/v/missing""}]",Critical,2.75,/monime/checkout/initiate,POST,422,2026-04-26T15:45:44.195593
Payments,Stripe,Create payment intent,PASS,,High,2.39,/payments/create-intent,POST,200,2026-04-26T15:45:44.197991
Tickets,Validation,Ticket validate requires auth,PASS,Protected endpoint,Critical,2.31,/tickets/validate/:number,GET,401,2026-04-26T15:45:44.200319
Tickets,Validation,QR validate requires auth,PASS,Protected endpoint,Critical,2.07,/qr/validate,POST,401,2026-04-26T15:45:44.202398
Tickets,Lookup,Ticket lookup requires auth,PASS,Protected endpoint,High,2.04,/payments/tickets/lookup/:token,GET,401,2026-04-26T15:45:44.204448
Subscriptions,Plans,Get public subscription plans,PASS,,Medium,2.01,/subscriptions/plans,GET,200,2026-04-26T15:45:44.206472
Subscriptions,My Plan,Get my subscription,PASS,,Medium,2.77,/subscriptions/my,GET,200,2026-04-26T15:45:44.209246
Subscriptions,Transactions,Get subscription transactions,PASS,,Medium,2.89,/subscriptions/transactions,GET,200,2026-04-26T15:45:44.212166
Security,Auth,Protected endpoint rejects no-auth,PASS,,Critical,1.87,/tickets/user,GET,401,2026-04-26T15:45:44.214042
Security,Auth,Invalid token rejected,PASS,,Critical,1.93,/tickets/user,GET,401,2026-04-26T15:45:44.215977
Security,Auth,Malformed auth header rejected,PASS,,Critical,1.91,/tickets/user,GET,401,2026-04-26T15:45:44.217891
Security,RBAC,Regular user blocked from admin,PASS,Status 401,Critical,3.91,/admin/users,GET,401,2026-04-26T15:45:44.221806
Security,Input,SQL injection in query param,PASS,Status 200,Critical,2.72,/events?id=...,GET,200,2026-04-26T15:45:44.224561
Security,Input,XSS in contact form handled,PASS,Status 200,Critical,3.46,/contact,POST,200,2026-04-26T15:45:44.228054
